id;name;salary;keyskills;area;employer;employementtime
79598399;Руководитель группы разработки (Team Lead);300000.0;('go', 'r', 'c', 'arm', 'ar');Москва;Юрент;full
79466071;DevOps инженер;225000.0;('r', 'боты');Москва;Автомакон;full
79971763;Junior Data scientist (Аналитик);60000.0;('боты');Москва;Займиго МФК;full
76767074;Наставник курсов по Python разработке;125000.0;('go', 'разработчик', 'ux', 'боты');Москва;Skyeng;part
80101541;Ведущий разработчик / Tech Lead команды разработки (Python, React, Telegram-боты);250000.0;('r', 'c', 'боты');Москва;Gooroo;full
79848196;Инженер DevOps;270000.0;('ux', 'боты');Москва;Автомакон;full
77850294;Инженер инфраструктуры / DevOps / SRE;225000.0;('системное мышление', 'ux');Москва;Баззула Интернет Технологии;full
79999266;Системный администратор Linux / Kubernetes (Middle DevOps инженер);215000.0;('технолог', 'ии');Москва;РА Дельта;full
79953945;Senior Full Stack Разработчик (Python/JavaScript);300000.0;('go', 'js', 'r', 'c', 'боты');Москва;ICMinnovation;full
79906367;Стажер Python-разработчик (GigaChat);300000.0;('r', 'аналитические навыки');Москва;СБЕР;full
55088580;Разработчик Python (Middle, Senior);300000.0;('боты');Москва;NGENIX;full
78638779;Senior Python Developer Enabled Platform (IAM, Billing, Security, MTS AI);300000.0;('backend', 'r', 'c');Москва;МТС;full
78645309;Middle Python-разработчик (Инженер-программист 2 категории);110000.0;('боты');Москва;Моринформсистема-Агат, Концерн;full
80234315;Спикер онлайн курсов по программированию;90000.0;();Москва;Образовательная Автономная Некоммерческая организация Высшего Образования Московский Институт Технологий и Управления;project
79917370;Разработчик Python;275000.0;('r', 'c', 'боты', 'excel');Москва;Кадровый центр Президент;full
79366307;DevOps engineer (удаленно);180000.0;('r', 'боты');Москва;Осм Консалтинг;full
78783323;Python Middle+/Senior Developer;180000.0;('разработчик', 'инженер', 'программист');Москва;Ритм;full
77736788;Программист Python;180000.0;('go', 'боты');Москва;VK;full
